"Country","Infant Deaths per 1K Live Births","Region"
"AFGHANISTAN",101.3,"South Asia"
"SOMALIA",83.6,"Africa"
"CENTRAL AFRICAN REPUBLIC",80.5,"Africa"
"EQUATORIAL GUINEA",77.4,"Africa"
"SIERRA LEONE",71.2,"Africa"
"NIGER",64.3,"Africa"
"CHAD",62.5,"Africa"
"SOUTH SUDAN",60.1,"Africa"
"MOZAMBIQUE",58.2,"Africa"
"MALI",57.4,"Africa"
"CONGO, DEMOCRATIC REPUBLIC OF THE",57.4,"Africa"
"LIBERIA",55.7,"Africa"
"ANGOLA",55.6,"Africa"
"COMOROS",54.9,"Africa"
"NIGERIA",53.7,"Africa"
"BENIN",52.9,"Africa"
"COTE D'IVOIRE",52.5,"Africa"
"PAKISTAN",51.5,"South Asia"
"MAURITANIA",48.9,"Africa"
"BURKINA FASO",47,"Africa"
"GUINEA",47,"Africa"
"GUINEA-BISSAU",46.4,"Africa"
"CAMEROON",46.1,"Africa"
"LESOTHO",45.7,"Africa"
"DJIBOUTI",45.2,"Africa"
"YEMEN",44.6,"Middle East"
"SAO TOME AND PRINCIPE",42.6,"Africa"
"SUDAN",40.6,"Africa"
"ERITREA",39.8,"Africa"
"TOGO",38.4,"Africa"
"MADAGASCAR",37.5,"Africa"
"HAITI",36.8,"Central America and the Caribbean"
"ESWATINI",36.7,"Africa"
"TURKMENISTAN",35.9,"Central Asia"
"GAMBIA, THE",35.7,"Africa"
"BURUNDI",35.7,"Africa"
"ZAMBIA",35.6,"Africa"
"LAOS",35.4,"East and Southeast Asia"
"ZIMBABWE",33.4,"Africa"
"ETHIOPIA",32.6,"Africa"
"TIMOR-LESTE",32.2,"East and Southeast Asia"
"BURMA",32.1,"East and Southeast Asia"
"PAPUA NEW GUINEA",32,"East and Southeast Asia"
"MALAWI",31.9,"Africa"
"KIRIBATI",31.5,"Australia and Oceania"
"GHANA",31.2,"Africa"
"SENEGAL",31.1,"Africa"
"CONGO, REPUBLIC OF THE",30.6,"Africa"
"INDIA",30.4,"South Asia"
"SURINAME",29.6,"South America"
"TANZANIA",29.6,"Africa"
"BANGLADESH",28.8,"South Asia"
"UGANDA",28.5,"Africa"
"CAMBODIA",27.9,"East and Southeast Asia"
"NAMIBIA",27.9,"Africa"
"TUVALU",27.8,"Australia and Oceania"
"GABON",26.9,"Africa"
"KENYA",26.1,"Africa"
"GUATEMALA",25,"Central America and the Caribbean"
"RWANDA",24.9,"Africa"
"KYRGYZSTAN",24.5,"Central Asia"
"MALDIVES",24.4,"South Asia"
"BHUTAN",24.3,"South Asia"
"NEPAL",24,"South Asia"
"BOTSWANA",23.7,"Africa"
"KOSOVO",22.9,"Europe"
"CABO VERDE",22.4,"Africa"
"BOLIVIA",22.3,"South America"
"PHILIPPINES",22,"East and Southeast Asia"
"PARAGUAY",22,"South America"
"SOUTH AFRICA",21.9,"Africa"
"GEORGIA",21.7,"Central Asia"
"TAJIKISTAN",21.7,"Central Asia"
"DOMINICAN REPUBLIC",21.7,"Central America and the Caribbean"
"GUYANA",21.1,"South America"
"MICRONESIA, FEDERATED STATES OF",20.9,"Australia and Oceania"
"MARSHALL ISLANDS",20.6,"Australia and Oceania"
"MONGOLIA",19.4,"East and Southeast Asia"
"SOLOMON ISLANDS",19.1,"Australia and Oceania"
"INDONESIA",18.9,"East and Southeast Asia"
"IRAQ",18.7,"Middle East"
"ALGERIA",18.7,"Africa"
"TURKEY (TURKIYE)",18.4,"Middle East"
"MOROCCO",18.3,"Africa"
"UZBEKISTAN",18.2,"Central Asia"
"SAINT HELENA, ASCENSION, AND TRISTAN DA CUNHA",18.1,"Africa"
"SAMOA",17.3,"Australia and Oceania"
"EGYPT",16.8,"Africa"
"KOREA, NORTH",15.4,"East and Southeast Asia"
"HONDURAS",15.4,"Central America and the Caribbean"
"GAZA STRIP",15.1,"Middle East"
"SYRIA",15.1,"Middle East"
"WEST BANK",15.1,"Middle East"
"TRINIDAD AND TOBAGO",15.1,"Central America and the Caribbean"
"COOK ISLANDS",15.1,"Australia and Oceania"
"NICARAGUA",14.4,"Central America and the Caribbean"
"IRAN",14.3,"Middle East"
"PANAMA",14.2,"Central America and the Caribbean"
"VIETNAM",14.1,"East and Southeast Asia"
"OMAN",13.9,"Middle East"
"VENEZUELA",13.9,"South America"
"MOLDOVA",13.8,"Europe"
"VANUATU",13.7,"Australia and Oceania"
"ANTIGUA AND BARBUDA",13.6,"Central America and the Caribbean"
"BRITISH VIRGIN ISLANDS",13.4,"Central America and the Caribbean"
"JORDAN",13.2,"Middle East"
"BRAZIL",12.9,"South America"
"SAINT VINCENT AND THE GRENADINES",12.3,"Central America and the Caribbean"
"MEXICO",12.1,"North America"
"NORTHERN MARIANA ISLANDS",11.9,"Australia and Oceania"
"TONGA",11.8,"Australia and Oceania"
"EL SALVADOR",11.7,"Central America and the Caribbean"
"SAUDI ARABIA",11.7,"Middle East"
"COLOMBIA",11.7,"South America"
"ARMENIA",11.6,"Central Asia"
"MAURITIUS",11.6,"Africa"
"ARUBA",11.5,"Central America and the Caribbean"
"SAINT LUCIA",11.5,"Central America and the Caribbean"
"TUNISIA",11.3,"Africa"
"BELIZE",11.3,"Central America and the Caribbean"
"ECUADOR",11.2,"South America"
"TURKS AND CAICOS ISLANDS",11.1,"Central America and the Caribbean"
"AZERBAIJAN",10.9,"Central Asia"
"GUAM",10.9,"Australia and Oceania"
"PERU",10.8,"South America"
"PALAU",10.8,"Australia and Oceania"
"DOMINICA",10.7,"Central America and the Caribbean"
"LIBYA",10.7,"Africa"
"JAMAICA",10.7,"Central America and the Caribbean"
"ALBANIA",10.3,"Europe"
"SEYCHELLES",10.2,"Africa"
"BRUNEI",10,"East and Southeast Asia"
"FIJI",9.7,"Australia and Oceania"
"MONTSERRAT",9.7,"Central America and the Caribbean"
"BAHRAIN",9.7,"Middle East"
"AMERICAN SAMOA",9.7,"Australia and Oceania"
"BARBADOS",9.6,"Central America and the Caribbean"
"BAHAMAS, THE",9.4,"Central America and the Caribbean"
"GRENADA",9,"Central America and the Caribbean"
"ARGENTINA",9,"South America"
"UKRAINE",8.7,"Europe"
"GREENLAND",8.5,"North America"
"CROATIA",8.4,"Europe"
"CYPRUS",8.1,"Europe"
"URUGUAY",8,"South America"
"KAZAKHSTAN",8,"Central Asia"
"SAINT KITTS AND NEVIS",8,"Central America and the Caribbean"
"SAINT PIERRE AND MIQUELON",7.8,"North America"
"BULGARIA",7.7,"Europe"
"SINT MAARTEN",7.6,"Central America and the Caribbean"
"NAURU",7.6,"Australia and Oceania"
"CURACAO",7.5,"Central America and the Caribbean"
"VIRGIN ISLANDS",7.3,"Central America and the Caribbean"
"CAYMAN ISLANDS",7.3,"Central America and the Caribbean"
"KUWAIT",7.2,"Middle East"
"NORTH MACEDONIA",7,"Europe"
"SRI LANKA",6.8,"South Asia"
"COSTA RICA",6.7,"Central America and the Caribbean"
"LEBANON",6.7,"Middle East"
"SAINT MARTIN",6.5,"Central America and the Caribbean"
"SAINT BARTHELEMY",6.5,"Central America and the Caribbean"
"RUSSIA",6.5,"Central Asia"
"QATAR",6.4,"Middle East"
"MALAYSIA",6.4,"East and Southeast Asia"
"THAILAND",6.3,"East and Southeast Asia"
"CHILE",6.3,"South America"
"CHINA",6.2,"East and Southeast Asia"
"SAN MARINO",6.2,"Europe"
"GIBRALTAR",6,"Europe"
"PUERTO RICO",5.8,"Central America and the Caribbean"
"FAROE ISLANDS",5.7,"Europe"
"ROMANIA",5.5,"Europe"
"UNITED STATES",5.1,"North America"
"SLOVAKIA",5.1,"Europe"
"UNITED ARAB EMIRATES",5,"Middle East"
"BOSNIA AND HERZEGOVINA",5,"Europe"
"POLAND",4.9,"Europe"
"NEW CALEDONIA",4.8,"Australia and Oceania"
"LATVIA",4.7,"Europe"
"HUNGARY",4.7,"Europe"
"SERBIA",4.5,"Europe"
"MALTA",4.4,"Europe"
"MACAU",4.4,"East and Southeast Asia"
"FRENCH POLYNESIA",4.3,"Australia and Oceania"
"CANADA",4.3,"North America"
"ISLE OF MAN",4.1,"Europe"
"CUBA",4,"Central America and the Caribbean"
"WALLIS AND FUTUNA",3.9,"Australia and Oceania"
"LIECHTENSTEIN",3.9,"Europe"
"UNITED KINGDOM",3.8,"Europe"
"TAIWAN",3.8,"East and Southeast Asia"
"JERSEY",3.7,"Europe"
"LITHUANIA",3.6,"Europe"
"NETHERLANDS",3.6,"Europe"
"GREECE",3.4,"Europe"
"ESTONIA",3.3,"Europe"
"GUERNSEY",3.3,"Europe"
"IRELAND",3.3,"Europe"
"NEW ZEALAND",3.3,"Australia and Oceania"
"ANDORRA",3.3,"Europe"
"AUSTRIA",3.2,"Europe"
"MONTENEGRO",3.2,"Europe"
"LUXEMBOURG",3.2,"Europe"
"FRANCE",3.1,"Europe"
"BELGIUM",3.1,"Europe"
"GERMANY",3.1,"Europe"
"ITALY",3.1,"Europe"
"ANGUILLA",3,"Central America and the Caribbean"
"SWITZERLAND",3,"Europe"
"DENMARK",3,"Europe"
"AUSTRALIA",2.9,"Australia and Oceania"
"KOREA, SOUTH",2.8,"East and Southeast Asia"
"ISRAEL",2.8,"Middle East"
"CZECHIA",2.6,"Europe"
"HONG KONG",2.5,"East and Southeast Asia"
"PORTUGAL",2.4,"Europe"
"SPAIN",2.4,"Europe"
"SWEDEN",2.3,"Europe"
"BELARUS",2.1,"Europe"
"BERMUDA",2.1,"North America"
"FINLAND",2.1,"Europe"
"JAPAN",1.9,"East and Southeast Asia"
"NORWAY",1.8,"Europe"
"MONACO",1.7,"Europe"
"ICELAND",1.6,"Europe"
"SINGAPORE",1.5,"East and Southeast Asia"
"SLOVENIA",1.5,"Europe"
